tie,x,y
1_2230,67478,1094661
1_2231,67478,1130943
1_2232,67478,1167225
1_2233,67478,1203507
1_2234,67478,1239789
1_2235,67478,1276071
1_2236,67478,1312353
1_2237,67478,1348635
1_2238,67478,1384917
1_2239,67478,1421199
1_2240,67478,1457481
1_2241,67478,1493763
1_2242,67478,1530045
1_2243,67478,1566327
1_2244,67478,1602609
1_2245,67478,1638891
1_2246,67478,1675173
1_2247,67478,1711455
1_2248,67478,1747737
1_2249,67478,1784019
1_2250,67478,1820301
1_2251,67478,1856583
1_2252,67478,1892865
1_2253,67478,1929147
1_2254,67478,1965429
1_2255,67478,2001711
1_2256,67478,2037993
1_2257,67478,2074275
1_2258,67478,2110557
1_2259,67478,2146839
1_2260,67478,2183121
1_2261,67478,2219403
1_2262,67478,2255685
1_2263,67478,2291967
1_2264,67478,2328249
1_2265,67478,2364531
1_2266,67478,2400813
1_2267,67478,2437095
1_2268,67478,2473377
1_2269,67478,2509659
1_2270,67478,2545941
1_2271,67478,2582223
1_2272,67478,2618505
1_2273,67478,2654787
1_2274,67478,2691069
1_2275,67478,2727351
1_2276,67478,2763633
1_2277,67478,2799915
1_2278,67478,2836197
1_2301,101217,36282
1_2302,101217,72564
1_2303,101217,108846
1_2304,101217,145128
1_2305,101217,181410
1_2306,101217,217692
1_2307,101217,253974
1_2308,101217,290256
1_2309,101217,326538
1_2310,101217,362820
1_2311,101217,399102
1_2312,101217,435384
1_2313,101217,471666
1_2314,101217,507948
1_2315,101217,544230
1_2316,101217,580512
1_2317,101217,616794
1_2318,101217,653076
1_2319,101217,689358
1_2320,101217,725640
1_2321,101217,761922
1_2322,101217,798204
1_2323,101217,834486
1_2324,101217,870768
1_2325,101217,907050
1_2326,101217,943332
1_2327,101217,979614
1_2328,101217,1015896
1_2329,101217,1052178
1_2330,101217,1088460
1_2331,101217,1124742
1_2332,101217,1161024
1_2333,101217,1197306
1_2334,101217,1233588
1_2335,101217,1269870
1_2336,101217,1306152
1_2337,101217,1342434
1_2338,101217,1378716
1_2339,101217,1414998
1_2340,101217,1451280
1_2341,101217,1487562
1_2342,101217,1523844
1_2343,101217,1560126
1_2344,101217,1596408
1_2345,101217,1632690
1_2346,101217,1668972
1_2347,101217,1705254
1_2348,101217,1741536
1_2349,101217,1777818
1_2350,101217,1814100
1_2351,101217,1850382
1_2352,101217,1886664
1_2353,101217,1922946
1_2354,101217,1959228
1_2355,101217,1995510
1_2356,101217,2031792
1_2357,101217,2068074
1_2358,101217,2104356
1_2359,101217,2140638
1_2360,101217,2176920
1_2361,101217,2213202
1_2362,101217,2249484
1_2363,101217,2285766
1_2364,101217,2322048
1_2365,101217,2358330
1_2366,101217,2394612
1_2367,101217,2430894
1_2368,101217,2467176
1_2369,101217,2503458
1_2370,101217,2539740
1_2371,101217,2576022
1_2372,101217,2612304
1_2373,101217,2648586
1_2374,101217,2684868
1_2375,101217,2721150
1_2376,101217,2757432
1_2377,101217,2793714
1_2378,101217,2829996
1_2401,134956,42483
1_2402,134956,78765
1_2403,134956,115047
1_2404,134956,151329
1_2405,134956,187611
1_2406,134956,223893
1_2407,134956,260175
1_2408,134956,296457
1_2409,134956,332739
1_2410,134956,369021
1_2411,134956,405303
1_2412,134956,441585
1_2413,134956,477867
1_2414,134956,514149
1_2415,134956,550431
1_2416,134956,586713
1_2417,134956,622995
1_2418,134956,659277
1_2419,134956,695559
1_2420,134956,731841
1_2421,134956,768123
1_2422,134956,804405
1_2423,134956,840687
1_2424,134956,876969
1_2425,134956,913251
1_2426,134956,949533
1_2427,134956,985815
1_2428,134956,1022097
1_2429,134956,1058379
1_2430,134956,1094661
1_2431,134956,1130943
1_2432,134956,1167225
1_2433,134956,1203507
1_2434,134956,1239789
1_2435,134956,1276071
1_2436,134956,1312353
1_2437,134956,1348635
1_2438,134956,1384917
1_2439,134956,1421199
1_2440,134956,1457481
1_2441,134956,1493763
1_2442,134956,1530045
1_2443,134956,1566327
1_2444,134956,1602609
1_2445,134956,1638891
1_2446,134956,1675173
1_2447,134956,1711455
1_2448,134956,1747737
1_2449,134956,1784019
1_2450,134956,1820301
1_2451,134956,1856583
1_2452,134956,1892865
1_2453,134956,1929147
1_2454,134956,1965429
1_2455,134956,2001711
1_2456,134956,2037993
1_2457,134956,2074275
1_2458,134956,2110557
1_2459,134956,2146839
1_2460,134956,2183121
1_2461,134956,2219403
1_2462,134956,2255685
1_2463,134956,2291967
1_2464,134956,2328249
1_2465,134956,2364531
1_2466,134956,2400813
1_2467,134956,2437095
1_2468,134956,2473377
1_2469,134956,2509659
1_2470,134956,2545941
1_2471,134956,2582223
1_2472,134956,2618505
1_2473,134956,2654787
1_2474,134956,2691069
1_2475,134956,2727351
1_2476,134956,2763633
1_2477,134956,2799915
1_2478,134956,2836197
1_2501,168695,36282
1_2502,168695,72564
1_2503,168695,108846
1_2504,168695,145128
1_2505,168695,181410
1_2506,168695,217692
1_2507,168695,253974
1_2508,168695,290256
1_2509,168695,326538
1_2510,168695,362820
1_2511,168695,399102
1_2512,168695,435384
1_2513,168695,471666
1_2514,168695,507948
1_2515,168695,544230
1_2516,168695,580512
1_2517,168695,616794
1_2518,168695,653076
1_2519,168695,689358
1_2520,168695,725640
1_2521,168695,761922
1_2522,168695,798204
1_2523,168695,834486
1_2524,168695,870768
1_2525,168695,907050
1_2526,168695,943332
1_2527,168695,979614
1_2528,168695,1015896
1_2529,168695,1052178
1_2530,168695,1088460
1_2531,168695,1124742
1_2532,168695,1161024
1_2533,168695,1197306
1_2534,168695,1233588
1_2535,168695,1269870
1_2536,168695,1306152
1_2537,168695,1342434
1_2538,168695,1378716
1_2539,168695,1414998
1_2540,168695,1451280
1_2541,168695,1487562
1_2542,168695,1523844
1_2543,168695,1560126
1_2544,168695,1596408
1_2545,168695,1632690
1_2546,168695,1668972
1_2547,168695,1705254
1_2548,168695,1741536
1_2549,168695,1777818
1_2550,168695,1814100
1_2551,168695,1850382
1_2552,168695,1886664
1_2553,168695,1922946
1_2554,168695,1959228
1_2555,168695,1995510
1_2556,168695,2031792
1_2557,168695,2068074
1_2558,168695,2104356
1_2559,168695,2140638
1_2560,168695,2176920
1_2561,168695,2213202
1_2562,168695,2249484
1_2563,168695,2285766
1_2564,168695,2322048
1_2565,168695,2358330
1_2566,168695,2394612
1_2567,168695,2430894
1_2568,168695,2467176
1_2569,168695,2503458
1_2570,168695,2539740
1_2571,168695,2576022
1_2572,168695,2612304
1_2573,168695,2648586
1_2574,168695,2684868
1_2575,168695,2721150
1_2576,168695,2757432
1_2577,168695,2793714
1_2578,168695,2829996
1_2601,202434,42483
1_2602,202434,78765
1_2603,202434,115047
1_2604,202434,151329
1_2605,202434,187611
1_2606,202434,223893
1_2607,202434,260175
1_2608,202434,296457
1_2609,202434,332739
1_2610,202434,369021
1_2611,202434,405303
1_2612,202434,441585
1_2613,202434,477867
1_2614,202434,514149
1_2615,202434,550431
1_2616,202434,586713
1_2617,202434,622995
1_2618,202434,659277
1_2619,202434,695559
1_2620,202434,731841
1_2621,202434,768123
1_2622,202434,804405
1_2623,202434,840687
1_2624,202434,876969
1_2625,202434,913251
1_2626,202434,949533
1_2627,202434,985815
1_2628,202434,1022097
1_2629,202434,1058379
1_2630,202434,1094661
1_2631,202434,1130943
1_2632,202434,1167225
1_2633,202434,1203507
1_2634,202434,1239789
1_2635,202434,1276071
1_2636,202434,1312353
1_2637,202434,1348635
1_2638,202434,1384917
1_2639,202434,1421199
1_2640,202434,1457481
1_2641,202434,1493763
1_2642,202434,1530045
1_2643,202434,1566327
1_2644,202434,1602609
1_2645,202434,1638891
1_2646,202434,1675173
1_2647,202434,1711455
1_2648,202434,1747737
1_2649,202434,1784019
1_2650,202434,1820301
1_2651,202434,1856583
1_2652,202434,1892865
1_2653,202434,1929147
1_2654,202434,1965429
1_2655,202434,2001711
1_2656,202434,2037993
1_2657,202434,2074275
1_2658,202434,2110557
1_2659,202434,2146839
1_2660,202434,2183121
1_2661,202434,2219403
1_2662,202434,2255685
1_2663,202434,2291967
1_2664,202434,2328249
1_2665,202434,2364531
1_2666,202434,2400813
1_2667,202434,2437095
1_2668,202434,2473377
1_2669,202434,2509659
1_2670,202434,2545941
1_2671,202434,2582223
1_2672,202434,2618505
1_2673,202434,2654787
1_2674,202434,2691069
1_2675,202434,2727351
1_2676,202434,2763633
1_2677,202434,2799915
1_2678,202434,2836197
2_1001,0,30081
2_1002,0,66363
2_1003,0,102645
2_1004,0,138927
2_1005,0,175209
2_1006,0,211491
2_1007,0,247773
2_1008,0,284055
2_1009,0,320337
2_1010,0,356619
2_1011,0,392901
2_1012,0,429183
2_1013,0,465465
2_1014,0,501747
2_1015,0,538029
2_1016,0,574311
2_1017,0,610593
2_1018,0,646875
2_1019,0,683157
2_1020,0,719439
2_1021,0,755721
2_1022,0,792003
2_1023,0,828285
2_1024,0,864567
2_1025,0,900849
2_1026,0,937131
2_1027,0,973413
2_1028,0,1009695
2_1029,0,1045977
2_1030,0,1082259
2_1031,0,1118541
2_1032,0,1154823
2_1033,0,1191105
2_1034,0,1227387
2_1035,0,1263669
2_1036,0,1299951
2_1037,0,1336233
2_1038,0,1372515
2_1039,0,1408797
2_1040,0,1445079
2_1041,0,1481361
2_1042,0,1517643
2_1043,0,1553925
2_1044,0,1590207
2_1045,0,1626489
2_1046,0,1662771
2_1047,0,1699053
2_1048,0,1735335
2_1049,0,1771617
2_1050,0,1807899
2_1051,0,1844181
2_1052,0,1880463
2_1053,0,1916745
2_1054,0,1953027
2_1055,0,1989309
2_1056,0,2025591
2_1057,0,2061873
2_1058,0,2098155
2_1059,0,2134437
2_1060,0,2170719
2_1061,0,2207001
2_1062,0,2243283
2_1063,0,2279565
2_1064,0,2315847
2_1065,0,2352129
2_1066,0,2388411
2_1067,0,2424693
2_1068,0,2460975
2_1069,0,2497257
2_1070,0,2533539
2_1071,0,2569821
2_1072,0,2606103
2_1073,0,2642385
2_1074,0,2678667
2_1075,0,2714949
2_1076,0,2751231
2_1077,0,2787513
2_1078,0,2823795
2_1101,33739,36282
2_1102,33739,72564
2_1103,33739,108846
2_1104,33739,145128
2_1105,33739,181410
2_1106,33739,217692
2_1107,33739,253974
2_1108,33739,290256
